user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
UIDLC00000bea68a,25-34,Tier 3,2024-10-24,Free,,,
UIDLC00009202848,18-24,Tier 1,2024-09-18,Basic,,,
UIDLC0001086afc3,35-44,Tier 2,2024-03-23,Premium,,2024-04-23,Free
UIDLC000186abd93,18-24,Tier 3,2024-09-07,Free,2024-10-23,,
UIDLC0002189b09f,18-24,Tier 2,2024-10-07,Premium,,2024-11-07,Free
UIDLC000362cba39,25-34,Tier 3,2024-06-09,Free,2024-07-29,,
UIDLC000436e2f4d,45+,Tier 3,2024-09-04,Premium,,,
UIDLC00044a5d021,45+,Tier 2,2024-07-22,Free,2024-09-15,,
UIDLC00044bbb294,25-34,Tier 2,2024-04-09,Free,,2024-09-09,Basic
UIDLC00047bf87da,18-24,Tier 1,2024-10-29,Free,,,
UIDLC0004a8ea55f,25-34,Tier 2,2024-06-14,Free,2024-08-11,,
UIDLC0004fc2b86c,25-34,Tier 3,2024-04-05,Free,2024-05-18,,
UIDLC0005925611f,25-34,Tier 3,2024-07-08,Free,,,
UIDLC00066e8361c,18-24,Tier 3,2024-08-18,Basic,2024-10-10,,
UIDLC00071c2ebb1,18-24,Tier 2,2024-11-24,Free,,,
UIDLC000728b5ce1,45+,Tier 3,2024-08-27,Basic,,,
UIDLC0007b26e5f0,25-34,Tier 1,2024-07-27,Basic,,2024-09-27,Premium
UIDLC0007b68f646,18-24,Tier 2,2024-01-13,Free,2024-09-29,,
UIDLC000821d36c9,45+,Tier 1,2024-03-26,Premium,,2024-04-26,Free
UIDLC000892a1bc4,18-24,Tier 2,2024-02-29,Premium,,2024-07-29,Free
UIDLC0008c3d668a,45+,Tier 2,2024-11-08,Free,,,
UIDLC0008d7e1bd3,35-44,Tier 1,2024-07-04,Basic,,2024-11-04,Premium
UIDLC0008df6e8aa,25-34,Tier 3,2024-11-10,Free,2024-11-30,,
UIDLC0008f8a663b,18-24,Tier 3,2024-05-07,Free,2024-06-23,,
